"","SN","TN","trial_type","RT","MT","tgt_jump","tgt_jump_size","tgt_error","clamp","clamp_size","Hand","Hand_raw","Exp","Hand_dt","RT_dt"
"1917",3,117,1,453.978591918945,281,1,4,-4,1,0,16.7804691620373,16.7804691620373,"Supp1",2.81170988860728,96.6000282287596
"1918",3,118,1,205.978523254395,384,1,4,-4,1,0,16.793571792552,16.793571792552,"Supp1",2.17067020017048,-101.000048065185
"1919",3,119,1,305.978507995605,360,1,4,-4,1,0,10.2681831915717,10.2681831915717,"Supp1",-3.4916552937509,-1.20003738403358
"1920",3,120,1,328.978546142578,342,1,4,-4,1,0,13.8132371447635,13.8132371447635,"Supp1",0.1137243928942,10.1999992370606
"1921",3,121,1,292.978576660156,382,1,4,-4,1,0,15.564911411528,15.564911411528,"Supp1",0.920836871037499,-24.5999725341798
"1922",3,122,1,305.978569030762,290,1,4,-4,1,0,10.6379891750921,10.6379891750921,"Supp1",-2.77758936800936,18.0000244140628
"1923",3,123,1,262.978538513184,330,1,4,-4,1,0,16.3072666240837,16.3072666240837,"Supp1",2.9889491146759,-36.400009155273
"1924",3,124,1,307.978576660156,344,1,4,-4,1,0,15.3023655125185,15.3023655125185,"Supp1",0.97721153892134,8.20001525878882
"1925",3,125,1,234.978584289551,318,1,4,-4,1,0,12.1349404845206,12.1349404845206,"Supp1",-1.85455415702798,-45.9999847412108
"1926",3,126,1,295.97859954834,355,1,4,-4,1,0,11.825856170269,11.825856170269,"Supp1",-1.41582742302778,14.4000259399414
"1927",3,127,1,292.978637695312,342,1,4,-4,1,0,10.3804507523094,10.3804507523094,"Supp1",-2.80972515643084,14.0000503540034
"1928",3,128,1,367.978630065918,354,1,4,-4,1,0,14.4006245918316,14.4006245918316,"Supp1",1.59177708954178,68.0000244140626
"1929",3,129,1,300.978591918945,371,1,4,-4,1,0,10.8667449235829,10.8667449235829,"Supp1",-1.0549784609198,2.39998321533182
"1930",3,130,1,331.978607177734,359,1,4,-4,1,0,10.5975432128738,10.5975432128738,"Supp1",-1.01670071729954,13.9999938964842
"1931",3,131,1,329.978652954102,398,1,4,-4,1,0,6.73149981254869,6.73149981254869,"Supp1",-3.86387284608059,5.20002899169981
"1932",3,132,1,444.978588104248,307,1,4,-4,1,0,7.92610489957089,7.92610489957089,"Supp1",-2.17839858851069,89.7999740600586
"1933",3,133,1,295.978576660156,357,1,4,-4,1,0,6.72892569122619,6.72892569122619,"Supp1",-1.8412380167343,-44.800026702881
"1934",3,134,1,434.978591918945,331,1,4,-4,1,0,9.30410758278391,9.30410758278391,"Supp1",1.04647134298321,67.399988555908
"1935",3,135,1,300.978591918945,331,1,4,-4,1,0,11.5476331799433,11.5476331799433,"Supp1",3.0999789467287,-60.4000083923342
"1936",3,136,1,289.978538513184,358,1,4,-4,1,0,5.5248291229972,5.5248291229972,"Supp1",-2.6814909723071,-63.4000389099116
"1937",3,137,1,299.97859954834,318,1,4,-4,1,0,5.1027054476305,5.1027054476305,"Supp1",-2.53893475728572,-24.399980163574
